question,answer,class_1,class_2,vector_database_result,reranker_result
ролики из инета защищены авторским правом?,"Да, ролики из интернета могут быть защищены авторским правом. В общем случае, материалы, созданные авторами, такие как видео, музыка и другие произведения, охраняются авторским правом. Это означает, что использование таких материалов может требовать разрешения от правообладателя.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Какие материалы защищены авторским правом?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?']","[['Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 0.007575922179967165], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.00403300067409873], ['Какие материалы защищены авторским правом?', 0.003359581809490919]]"
"Что сделать, чтобы использовать в видео материалы, которые распространяются по свободной лицензии?","Чтобы использовать в видео материалы, которые распространяются по свободной лицензии, необходимо убедиться, что условия данной лицензии позволяют использование этих материалов в вашем проекте. Важно также правильно указать авторство и соблюдать все требования, указанные в лицензии.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?']","[['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 0.9411701560020447], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.033736951649188995], ['Как пожаловаться на видео, если оно нарушает авторские права?', 0.0011449597077444196]]"
"Могу я использовать музыку, которая распространяется по свободной лицензии?","Да, вы можете использовать музыку, которая распространяется по свободной лицензии. Это позволяет использовать материалы, не нарушая авторских прав, при условии соблюдения условий самой лицензии.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Можно ли цитировать чужие произведения?']","[['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 0.6595057249069214], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.02464088797569275], ['Можно ли цитировать чужие произведения?', 0.0011287915986031294]]"
Какие видео  с чтением чужих книг можно публиковать?,"На RUTUBE запрещено публиковать видео с чтением чужих книг и их переводов без соответствующих прав. Вы можете использовать только те материалы, на которые у вас есть лицензия или разрешение от правообладателя.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли публиковать видео с чтением чужих книг и их переводов?', 'В каком порядке публикуются и отображаются видео на канале?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?']","[['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.9344000220298767], ['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 0.005105221178382635], ['В каком порядке публикуются и отображаются видео на канале?', 0.001264900784008205]]"
"ВОПРОС ОБ ОТКАЗЕ ОТ ПУБЛИКОВАНИЯ ПРОИЗВЕДЕНИЯ ОБЩЕСТВЕННОГО ДОСТОЯНИЯ, БУДЕТ ТАКОЕ?",Я не знаю.,ВИДЕО,Загрузка видео,"['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Будет ли приватная трансляция отображаться на личной странице (канале) пользователя и в разделе RUTUBE «Все трансляции»?']","[['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 0.08267717808485031], ['Будет ли приватная трансляция отображаться на личной странице (канале) пользователя и в разделе RUTUBE «Все трансляции»?', 0.07273375242948532], ['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.044782157987356186]]"
Что за переход в общественное достояние?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Как долго рассматривается заявка на монетизацию? ']","[['С какого возраста доступна монетизация?', 0.0011361197102814913], ['С какого возраста доступна монетизация?', 0.0011361197102814913], ['Как долго рассматривается заявка на монетизацию? ', 0.0011007965076714754]]"
через сколько лет переход общественное достояние?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Как долго рассматривается заявка на монетизацию? ']","[['С какого возраста доступна монетизация?', 0.0027124264743179083], ['С какого возраста доступна монетизация?', 0.0027124250773340464], ['Как долго рассматривается заявка на монетизацию? ', 0.0011649888474494219]]"
произведние в общественном достоянии? О чем это?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Можно ли цитировать чужие произведения?']","[['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.043182872235774994], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.0025758175179362297], ['Можно ли цитировать чужие произведения?', 0.0011912714689970016]]"
"Почему не скажете, кому пренадлежат эти права?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Почему вы не разглашаете, чьи авторские права я нарушаю?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Кто такой правообладатель и как им стать?']","[['Почему вы не разглашаете, чьи авторские права я нарушаю?', 0.7124065160751343], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.027160530909895897], ['Кто такой правообладатель и как им стать?', 0.0012125162174925208]]"
"Кто этот правообладатель прав, почему не уведомляете фамилией?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кто такой правообладатель и как им стать?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?']","[['Почему вы не разглашаете, чьи авторские права я нарушаю?', 0.12034532427787781], ['Кто такой правообладатель и как им стать?', 0.0012445475440472364], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.0011281977640464902]]"
Некоторые комментарии  и видео фильтры Рутуба почему-то пропускают. Пожаловаться тоже непонятно как  среди сотен отзывов весьма проблематично.Спасибо.,Я не знаю.,ПОИСК,Текстовый поиск,"['Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?']","[['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.7620018124580383], ['Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 0.6750572323799133], ['Можно ли работать с комментариями в приложении Студия RUTUBE?', 0.13583777844905853]]"
"Доброго дня хочу пожаловаться на видео. В этом видео автор канала просит скидывать денежные средства, на электронные кошельки указанные в описание к видео, при этом не предоставив никаких документов.  Усматривают в этом нарушение законодательства РФ, а именно 151 статью УК РФ -Попрошайничество и статья мошенничество 159 УК РФ.  Прошу незамедлительно заблокировать данное видео на вашей платформе",Я не знаю.,МОДЕРАЦИЯ,Нарушение авторских прав,"['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Как пожаловаться на видео, если оно нарушает авторские права?']","[['Как пожаловаться на видео, если оно нарушает авторские права?', 0.646781325340271], ['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 0.35140034556388855], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.13236522674560547]]"
