question,answer,class_1,class_2,vector_database_result,reranker_result
"Какую музыку можно использовать в видео, чтобы получать доход от просмотров?","Чтобы получать доход от просмотров на RUTUBE, необходимо использовать музыку, на которую у вас есть права, или музыку, которая находится в общественном достоянии. Использование защищенной авторским правом музыки без разрешения может привести к отключению монетизации вашего видео. Рекомендуется также использовать лицензированную музыку или треки, предоставленные сервисами, которые предлагают музыку для коммерческого использования.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли на RUTUBE стримить музыку?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Какую категорию выбрать для видео?', 'Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 'Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Какие рекомендации следует учитывать при создании обложки и заголовка для видео, чтобы повысить его привлекательность и видимость? ', 'Как пожаловаться на видео, если оно нарушает авторские права?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.033687956631183624], ['Можно ли на RUTUBE стримить музыку?', 0.012510289438068867], ['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.009397897869348526]]"
Я заю что музыку нельзя размещать!  А если сам ее написал или с сайта то как,"На RUTUBE запрещено размещать контент, нарушающий авторские права, включая музыку, если вы не являетесь её автором или не имеете соответствующих прав. Однако, если вы написали музыку самостоятельно или используете её с сайта, который предоставляет право на использование, то размещение такого контента возможно. Важно удостовериться, что у вас есть все необходимые права на использование музыки, чтобы избежать отключения монетизации из-за авторских прав.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Кто такой автор/блогер и как им стать?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Что нельзя публиковать на RUTUBE?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Как мне лучше оформить свой канал?', 'Как загрузить видеоролик на сайт?', 'Могу ли я скачать копию моей трансляции?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.3721412122249603], ['Что нельзя публиковать на RUTUBE?', 0.07436323910951614], ['Кто такой автор/блогер и как им стать?', 0.02649938501417637]]"
У контента из интернета есть авторские права?,"Да, контент из интернета может иметь авторские права. Использование материалов из интернета или общего доступа не всегда является свободным. Важно учитывать, кому принадлежат авторские права на контент, и соблюдать правила цитирования чужих произведений.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Какие материалы защищены авторским правом?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Как подтвердить права на использование контента для монетизации?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Можно ли цитировать чужие произведения?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?']","[['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.885768711566925], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.8256319761276245], ['Можно ли цитировать чужие произведения?', 0.08180108666419983]]"
Что защищено авторским правом? Какие материалы,"Авторским правом защищены оригинальные произведения, такие как литературные и художественные тексты, музыка, фильмы, фотографии, программное обеспечение и другие творческие материалы. Это означает, что создание, распространение и использование этих материалов регулируется законами об авторском праве, и для их использования может потребоваться разрешение владельца прав.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Какие материалы защищены авторским правом?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подтвердить права на использование контента для монетизации?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Кто такой автор/блогер и как им стать?']","[['Какие материалы защищены авторским правом?', 0.9068542122840881], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.623048722743988], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.3966640532016754]]"
"Какие документы нужны для восстановления монетизации, ели это чужие видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Как подтвердить права на использование контента для монетизации?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Могут ли трансляции монетизироваться?', 'Как долго рассматривается заявка на монетизацию? ', 'Как долго рассматривается повторная заявка на монетизацию?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ']","[['Как подтвердить права на использование контента для монетизации?', 0.9503467082977295], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.9003509879112244], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.05877329409122467]]"
"Добрый день, я бы хотел узнать какие документы я должен предоставить чтобы мог загружать определенные фильмы и мультфильмы? у меня есть разрешения на некоторые фильмы и мультфильмы просто, надо включить монетизацию",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 'Как подтвердить права на использование контента для монетизации?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Как долго рассматривается заявка на монетизацию? ', 'Можно ли публиковать видео с чтением чужих книг и их переводов?']","[['Как подтвердить права на использование контента для монетизации?', 0.8057403564453125], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.5581098198890686], ['Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 0.20553648471832275]]"
"Если я видео размещаю, авторские права у вас будут?","Авторские права на контент, который вы размещаете на платформе RUTUBE, принадлежат вам. Однако стоит учитывать, что платформа может отключить монетизацию вашего видео, если оно нарушает авторские права третьих лиц. Рекомендуется убедиться, что у вас есть все необходимые права на контент перед его загрузкой, чтобы избежать проблем с монетизацией.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Как пожаловаться на видео, если оно нарушает авторские права?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Можно ли включить отложенную публикацию видео?', 'Как удалить мой видеоролик?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Можно ли в приложении Студия RUTUBE создавать и загружать видео?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.9103422164916992], ['Можно ли в приложении Студия RUTUBE создавать и загружать видео?', 0.31084132194519043], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.09322424978017807]]"
кто правообладатель аорских прав на размещенный ролик на канале?,Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Может ли пользователь с правами Редактора управлять подписками Владельца канала?', 'Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?', 'Кто такой правообладатель и как им стать?', 'Какие бывают роли в доступах к студии канала?', 'Может ли один пользователь занимать сразу несколько ролей доступа в рамках студии одного канала?', 'Можно ли предоставить доступ к студии канала другому пользователю, не зарегистрированному на RUTUBE?', 'Может ли пользователь, которому предоставлен доступ к студии канала, открывать доступ и назначать роли другим пользователям?', 'Скольким пользователям можно предоставить доступ к студии канала?', 'Кем осуществляется модерация в RUTUBE?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.022841082885861397], ['Может ли пользователь, которому предоставлен доступ к студии канала, открывать доступ и назначать роли другим пользователям?', 0.0054739112965762615], ['Кто такой правообладатель и как им стать?', 0.0014719939790666103]]"
Кому принадлежат авторские права на данный контент?,"Авторские права на контент, который вы размещаете на платформе RUTUBE, принадлежат вам как автору этого контента. Вы сохраняете все права на свои материалы, однако вы даете RUTUBE право использовать ваш контент в рамках предоставления услуг платформы. Если вы хотите стать правообладателем, вам необходимо создать оригинальный контент, который будет защищен авторским правом.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Какие материалы защищены авторским правом?', 'Как подтвердить права на использование контента для монетизации?', 'Кто такой правообладатель и как им стать?', 'Кто такой автор/блогер и как им стать?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Кто может получить верификацию?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.9228290915489197], ['Кто такой правообладатель и как им стать?', 0.6301896572113037], ['Какие материалы защищены авторским правом?', 0.27351558208465576]]"
"пройдет видео модерация, если цитировать чужие материалы?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли цитировать чужие произведения?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)', 'Кем осуществляется модерация в RUTUBE?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Можно ли включить отложенную публикацию видео?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Сколько по времени длится модерация?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.8782209157943726], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.2896572947502136], ['Сколько по времени длится модерация?', 0.06883697211742401]]"
Могу я в видео процитировать произведение известного нейрохирурга?,Я не знаю.,ВИДЕО,Загрузка видео,"['Можно ли цитировать чужие произведения?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Могу ли я скачать видеоролик с RUTUBE на свой компьютер?', 'Могу ли я оформить монетизацию моего канала на доверенное лицо?', 'Могу ли я скачать копию моей трансляции?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Могу ли я загружать вертикальные видео?']","[['Могу ли я загружать вертикальные видео?', 0.028186433017253876], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.010369795374572277], ['Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 0.004718080163002014]]"
