question,answer,class_1,class_2,vector_database_result,reranker_result
"Какую музыку можно использовать в видео, чтобы получать доход от просмотров?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подтвердить права на использование контента для монетизации?', 'Можно ли создать несколько каналов и монетизировать их?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Могут ли трансляции монетизироваться?', 'Как формируется вознаграждение за монетизацию?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Можно ли подключить монетизацию нескольких каналов на одного человека или организацию?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.9370807409286499], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.14713716506958008], ['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.043153632432222366]]"
Я заю что музыку нельзя размещать!  А если сам ее написал или с сайта то как,Я не знаю.,ОТСУТСТВУЕТ,Отсутствует,"['Можно ли на RUTUBE стримить музыку?', 'Можно ли запускать приватные трансляции на RUTUBE?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?', 'Можно ли в приложении Студия RUTUBE создавать и загружать видео?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Можно ли загружать видео на RUTUBE с YouTube?', 'Можно ли скачать видео с RUTUBE?']","[['Можно ли скачать видео с RUTUBE?', 0.28249144554138184], ['Можно ли запускать приватные трансляции на RUTUBE?', 0.07465042173862457], ['Можно ли управлять другим каналом через приложение Студия RUTUBE?', 0.036557093262672424]]"
У контента из интернета есть авторские права?,"Да, контент из интернета может иметь авторские права. Важно помнить, что использование материалов из интернета не всегда свободно, и необходимо соблюдать авторские права на такие материалы. Если вы размещаете контент на платформе, важно убедиться, что у вас есть права на его использование.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Может ли пользователь с правами Редактора управлять подписками Владельца канала?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Как подтвердить права на использование контента для монетизации?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Кто такой автор/блогер и как им стать?', 'Можно ли цитировать чужие произведения?', 'Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?', 'Может ли пользователь с правами Редактора создать трансляцию, если у Владельца канала не указан в профиле номер телефона?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.834027111530304], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.36080846190452576], ['Можно ли цитировать чужие произведения?', 0.10748808085918427]]"
Что защищено авторским правом? Какие материалы,"Материалы, подлежащие защите авторским правом, включают оригинальные произведения, такие как литературные, музыкальные, театральные, художественные и аудиовизуальные произведения. Это означает, что контент, который вы создаете и размещаете на платформе RUTUBE, может быть защищен авторским правом, если он является оригинальным и выражает творческий замысел.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Какие материалы защищены авторским правом?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Как подтвердить права на использование контента для монетизации?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?']","[['Какие материалы защищены авторским правом?', 0.6786708831787109], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.4043782949447632], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.36724841594696045]]"
"Какие документы нужны для восстановления монетизации, ели это чужие видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Какие технические требования предъявляются к загружаемым видеороликам?', 'Какие технические требования предъявляются к загружаемым видеороликам?', 'Как подтвердить права на использование контента для монетизации?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?']","[['Как подтвердить права на использование контента для монетизации?', 0.8707365393638611], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.809851348400116], ['Какие требования к обложке видео?', 0.06736289709806442]]"
"Добрый день, я бы хотел узнать какие документы я должен предоставить чтобы мог загружать определенные фильмы и мультфильмы? у меня есть разрешения на некоторые фильмы и мультфильмы просто, надо включить монетизацию",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'Как подтвердить права на использование контента для монетизации?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Как долго рассматривается заявка на монетизацию? ', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?']","[['Как подтвердить права на использование контента для монетизации?', 0.9026358127593994], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.819350004196167], ['Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 0.1456407606601715]]"
"Если я видео размещаю, авторские права у вас будут?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Как пожаловаться на видео, если оно нарушает авторские права?', 'Какие технические требования предъявляются к загружаемым видеороликам?', 'Какие технические требования предъявляются к загружаемым видеороликам?', 'Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Какие требования к обложке видео?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'В каком порядке публикуются и отображаются видео на канале?', 'Как загрузить видеоролик на сайт?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.7573964595794678], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.5507271885871887], ['Как загрузить видеоролик на сайт?', 0.08656119555234909]]"
кто правообладатель аорских прав на размещенный ролик на канале?,Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Может ли пользователь с правами Редактора управлять подписками Владельца канала?', 'Какие бывают роли в доступах к студии канала?', 'Кто такой правообладатель и как им стать?', 'Кем осуществляется модерация в RUTUBE?', 'Какие пользователи могут подать на верификацию канала?', 'Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?', 'Может ли один пользователь занимать сразу несколько ролей доступа в рамках студии одного канала?', 'В каком порядке публикуются и отображаются видео на канале?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.7738416790962219], ['Кто такой правообладатель и как им стать?', 0.08228722959756851], ['Кем осуществляется модерация в RUTUBE?', 0.004701278638094664]]"
Кому принадлежат авторские права на данный контент?,"Авторские права на контент, который вы размещаете на платформе RUTUBE, принадлежат вам как автору этого контента. Вы сохраняете все права на свои материалы, однако при размещении контента на платформе вы предоставляете RUTUBE лицензию на его использование. Если у вас есть вопросы о правообладателях и о том, как стать правообладателем, вы можете ознакомиться с дополнительной информацией в документации.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Какие материалы защищены авторским правом?', 'Как подтвердить права на использование контента для монетизации?', 'Кто такой правообладатель и как им стать?', 'Кто такой автор/блогер и как им стать?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Кто может получить верификацию?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.9228290915489197], ['Кто такой правообладатель и как им стать?', 0.6301896572113037], ['Какие материалы защищены авторским правом?', 0.27351558208465576]]"
"пройдет видео модерация, если цитировать чужие материалы?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Можно ли включить отложенную публикацию видео?', 'Можно ли цитировать чужие произведения?', 'Можно ли отсортировать видео по статусу в категории ""Модерация/Отклонено""?', 'Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)', 'Сколько по времени длится модерация?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.9235612750053406], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.24498872458934784], ['Можно ли цитировать чужие произведения?', 0.19570676982402802]]"
Могу я в видео процитировать произведение известного нейрохирурга?,Я не знаю.,ВИДЕО,Загрузка видео,"['Можно ли цитировать чужие произведения?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'Можно ли скачать видео с RUTUBE?', 'Можно ли включить отложенную публикацию видео?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 'Можно ли загружать видео на RUTUBE с YouTube?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?']","[['Можно ли включить отложенную публикацию видео?', 0.0014670219970867038], ['Можно ли цитировать чужие произведения?', 0.0013485195813700557], ['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 0.0013371666427701712]]"
Не запрещено цитировать произведения?,Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли цитировать чужие произведения?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?', 'Можно ли авторизоваться (выполнить вход) в приложении Студия RUTUBE без ввода проверочного кода?', 'Как подтвердить права на использование контента для монетизации?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?', 'Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?']","[['Можно ли цитировать чужие произведения?', 0.567364513874054], ['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.3291718363761902], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.2959642708301544]]"
"Пытался загрузить фильм и получаю:""Видео удалено за нарушение пользовательского соглашения""почему так?",Я не знаю.,МОДЕРАЦИЯ,Долгая модерация,"['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 'Зачем нужна регистрация на RUTUBE?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Как эмбедировать видео с RUTUBE?', 'Что нельзя публиковать на RUTUBE?', 'Как перенести видео с YouTube на RUTUBE?', 'Кем осуществляется модерация в RUTUBE?']","[['Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 0.7005174160003662], ['Как перенести видео с YouTube на RUTUBE?', 0.14140857756137848], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.07365718483924866]]"
